time,voltage,pressed
0.088691,4.44770283479961,0
0.3182727,4.44770283479961,0
0.4877714,4.44281524926686,0
0.653587,4.44281524926686,0
0.8223967,4.44281524926686,0
0.9925935,4.44770283479961,0
1.1615928,4.44770283479961,0
1.3304276,4.44770283479961,0
1.4982395,4.44281524926686,0
1.6648805,4.44770283479961,0
1.8339049,4.44281524926686,0
2.0025935,4.44281524926686,0
2.1702775,4.44770283479961,0
2.3381183,4.44770283479961,0
2.5077681,4.44770283479961,0
2.6778033,4.44281524926686,0
2.8458571,4.44281524926686,0
3.0157266,4.44281524926686,0
3.1855054,4.44281524926686,0
3.3555591,4.44281524926686,0
3.5232913,4.44281524926686,0
3.6940306,4.44770283479961,0
3.860931,4.44770283479961,0
4.0320112,4.44770283479961,0
4.2001776,4.44281524926686,0
4.3722052,4.44770283479961,0
4.540394,4.44770283479961,0
4.7100367,4.44770283479961,0
4.8788947,4.44770283479961,0
